Country_Reg,Case_Type,People_Total Cases,Difference,Date,Lat,Long,Population_C,People_Hos
Afghanistan,Confirmed,0,0,2020-01-01,,,39068.979,0
Afghanistan,Confirmed,30,30,2020-02-01,,,39068.979,0
Afghanistan,Confirmed,1141,1111,2020-03-01,,,39068.979,0
Afghanistan,Confirmed,25152,24011,2020-04-01,,,39068.979,0
Afghanistan,Confirmed,222720,197568,2020-05-01,,,39068.979,0
Afghanistan,Confirmed,751685,528965,2020-06-01,,,39068.979,0
Afghanistan,Confirmed,1079412,327727,2020-07-01,,,39068.979,0
Afghanistan,Confirmed,1165099,85687,2020-08-01,,,39068.979,0
Afghanistan,Confirmed,1166401,1302,2020-09-01,,,39068.979,0
Afghanistan,Confirmed,1246695,80294,2020-10-01,,,39068.979,0
Afghanistan,Confirmed,1303865,57170,2020-11-01,,,39068.979,0
Afghanistan,Confirmed,1539551,235686,2020-12-01,,,39068.979,0
Afghanistan,Confirmed,1671259,131708,2021-01-01,,,40000.412,0
Afghanistan,Confirmed,1553102,-118157,2021-02-01,,,40000.412,0
Afghanistan,Confirmed,1737068,183966,2021-03-01,,,40000.412,0
Afghanistan,Confirmed,1733260,-3808,2021-04-01,,,40000.412,0
Afghanistan,Confirmed,1991950,258690,2021-05-01,,,40000.412,0
Afghanistan,Confirmed,2848717,856767,2021-06-01,,,40000.412,0
Afghanistan,Confirmed,4241348,1392631,2021-07-01,,,40000.412,0
Afghanistan,Confirmed,4696019,454671,2021-08-01,,,40000.412,0
Afghanistan,Confirmed,4628009,-68010,2021-09-01,,,40000.412,0
Afghanistan,Confirmed,4827238,199229,2021-10-01,,,40000.412,0
Afghanistan,Confirmed,4701215,-126023,2021-11-01,,,40000.412,0
Afghanistan,Confirmed,4889195,187980,2021-12-01,,,40000.412,0
Afghanistan,Confirmed,4938320,49125,2022-01-01,,,40578.842,0
Afghanistan,Confirmed,4759331,-178989,2022-02-01,,,40578.842,0
Afghanistan,Confirmed,5465007,705676,2022-03-01,,,40578.842,0
Afghanistan,Confirmed,5350389,-114618,2022-04-01,,,40578.842,0
Afghanistan,Confirmed,5562250,211861,2022-05-01,,,40578.842,0
Afghanistan,Confirmed,5441364,-120886,2022-06-01,,,40578.842,0
Afghanistan,Confirmed,5699567,258203,2022-07-01,,,40578.842,0
Afghanistan,Confirmed,5876924,177357,2022-08-01,,,40578.842,0
Afghanistan,Confirmed,5899026,22102,2022-09-01,,,40578.842,0
Afghanistan,Confirmed,6237917,338891,2022-10-01,,,40578.842,0
Afghanistan,Confirmed,6140134,-97783,2022-11-01,,,40578.842,0
Afghanistan,Confirmed,6413335,273201,2022-12-01,,,40578.842,0
Afghanistan,Confirmed,6448651,35316,2023-01-01,,,41454.761,0
Afghanistan,Confirmed,5851560,-597091,2023-02-01,,,41454.761,0
Afghanistan,Confirmed,1884563,-3966997,2023-03-01,,,41454.761,0
Albania,Confirmed,0,0,2020-01-01,,,2871.954,0
Albania,Confirmed,0,0,2020-02-01,,,2871.954,0
Albania,Confirmed,2232,2232,2020-03-01,,,2871.954,0
Albania,Confirmed,15632,13400,2020-04-01,,,2871.954,0
Albania,Confirmed,28873,13241,2020-05-01,,,2871.954,0
Albania,Confirmed,50880,22007,2020-06-01,,,2871.954,0
Albania,Confirmed,119660,68780,2020-07-01,,,2871.954,0
Albania,Confirmed,230278,110618,2020-08-01,,,2871.954,0
Albania,Confirmed,350148,119870,2020-09-01,,,2871.954,0
Albania,Confirmed,523084,172936,2020-10-01,,,2871.954,0
Albania,Confirmed,866248,343164,2020-11-01,,,2871.954,0
Albania,Confirmed,1540509,674261,2020-12-01,,,2871.954,0
Albania,Confirmed,2088163,547654,2021-01-01,,,2849.635,0
Albania,Confirmed,2610775,522612,2021-02-01,,,2849.635,0
Albania,Confirmed,3652195,1041420,2021-03-01,,,2849.635,0
Albania,Confirmed,3865660,213465,2021-04-01,,,2849.635,0
Albania,Confirmed,4089156,223496,2021-05-01,,,2849.635,0
Albania,Confirmed,3973546,-115610,2021-06-01,,,2849.635,0
Albania,Confirmed,4113962,140416,2021-07-01,,,2849.635,0
Albania,Confirmed,4262873,148911,2021-08-01,,,2849.635,0
Albania,Confirmed,4784904,522031,2021-09-01,,,2849.635,0
Albania,Confirmed,5511591,726687,2021-10-01,,,2849.635,0
Albania,Confirmed,5801493,289902,2021-11-01,,,2849.635,0
Albania,Confirmed,6351823,550330,2021-12-01,,,2849.635,0
Albania,Confirmed,7217971,866148,2022-01-01,,,2827.608,0
Albania,Confirmed,7491180,273209,2022-02-01,,,2827.608,0
Albania,Confirmed,8456152,964972,2022-03-01,,,2827.608,0
Albania,Confirmed,8233062,-223090,2022-04-01,,,2827.608,0
Albania,Confirmed,8544921,311859,2022-05-01,,,2827.608,0
Albania,Confirmed,8323448,-221473,2022-06-01,,,2827.608,0
Albania,Confirmed,9157061,833613,2022-07-01,,,2827.608,0
Albania,Confirmed,9994918,837857,2022-08-01,,,2827.608,0
Albania,Confirmed,9937170,-57748,2022-09-01,,,2827.608,0
Albania,Confirmed,10311515,374345,2022-10-01,,,2827.608,0
Albania,Confirmed,9995485,-316030,2022-11-01,,,2827.608,0
